"","scientific_name","Family1","Order1","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Inference","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","common_name"
"13","Pandion haliaetus","Pandionidae","Accipitriformes",47,27.7,17.3,19.6,49.8,468.4,204.8,253,44.9,201.3,1483.2,"NO","Marine",3,3,"Carnivore","Aquatic predator","Aerial",31298390.01,"Osprey"
"14","Anas acuta","Anatidae","Anseriformes",48.1,31.9,14.5,14.8,36.9,256.7,148.4,107.8,57.8,124.7,944.6,"NO","Wetland",3,3,"Herbivore","Herbivore aquatic","Aquatic",28403500.77,"Northern Pintail"
"15","Anas poecilorhyncha","Anatidae","Anseriformes",61.9,40.9,21.1,15.6,43.5,272,128,146.5,46.6,99.6,1000,"NO","Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",5228716.82,"Indian Spot-billed Duck"
"16","Aythya fuligula","Anatidae","Anseriformes",43.9,27.6,19.5,13.2,31.3,196.9,99,98.6,50.1,53.4,701.2,"NO","Wetland",3,2,"Omnivore","Herbivore aquatic","Aquatic",20377977.97,"Tufted Duck"
"17","Mareca penelope","Anatidae","Anseriformes",38.5,26.5,15.5,12.4,35.5,250.6,143,107.2,57.2,89.7,770,"NO","Wetland",3,3,"Herbivore","Omnivore","Terrestrial",16342850.08,"Eurasian Wigeon"
"18","Nettapus coromandelianus","Anatidae","Anseriformes",26.6,16.7,11.1,10.2,23.6,158.5,69.2,88.3,43.9,64.5,391.3,"NO","Wetland",3,1,"Herbivore","Herbivore aquatic","Aquatic",9230293.27,"Cotton Pygmy-Goose"
"19","Spatula clypeata","Anatidae","Anseriformes",68.8,47.9,18.6,18.7,33.8,226.4,130.2,94.2,58,75.1,612.6,"NO","Wetland",3,3,"Omnivore","Aquatic predator","Aquatic",27068888.24,"Northern Shoveler"
"20","Spatula querquedula","Anatidae","Anseriformes",39.2,30,13.8,12.5,26,188.2,105.6,82.2,56.1,64.2,325.6,"NO","Wetland",3,3,"Omnivore","Herbivore aquatic","Aquatic",16861397.11,"Garganey"
"21","Tadorna ferruginea","Anatidae","Anseriformes",47,29.2,18.6,14.4,54.5,355.5,169.5,180,48.5,124.7,1235,"NO","Wetland",3,2,"Omnivore","Omnivore","Terrestrial",18403211.28,"Ruddy Shelduck"
"22","Upupa epops","Upupidae","Bucerotiformes",55.8,46.9,5.5,6.3,21.1,142.3,30.5,111.5,21.4,96.9,66.9,"NO","Grassland",3,3,"Carnivore","Invertivore","Terrestrial",46881685.44,"Eurasian Hoopoe"
